summary,value,description,keywords
Printing Press,1440,"The printing press is a machine that enabled mass production of books and documents, spurring the spread of knowledge.","Great Invention,15th Century"
Gutenberg Press,1440,The Gutenberg Press is a printing machine that played a key role in the spread of knowledge and the Renaissance.,"Great Invention,15th Century"
Microscope,1590,"The microscope is an instrument that magnifies small objects, enabling the study of cells, microorganisms, and more.","Great Invention,16th Century"
Steam Engine,1712,"The steam engine is a machine that converted steam into mechanical energy, driving the Industrial Revolution.","Great Invention, 18th Century"
Cotton Gin,1793,"The cotton gin is a machine that automated the separation of cotton fibers from seeds, transforming the cotton industry.","Great Invention, 18th Century"
Vaccination,1796,"Vaccination involves using vaccines to prevent diseases, revolutionizing public health and saving lives.","Great Invention, 18th Century"
Electric Motor,1821,"The electric motor converts electrical energy into mechanical energy, powering a wide range of devices and machinery.","Great Invention, 19th Century"
Photography,1826,"Photography is the process of capturing and preserving images, shaping art, documentation, and communication.","Great Invention, 19th Century"
Computer,1833,"The computer is an electronic device used for data processing and computations, leading to the digital age.","Great Invention, 19th Century"
Refrigerator,1834,"The refrigerator is a device for cooling and preserving food, extending the shelf life of perishables.","Great Invention, 19th Century"
Telegraph,1837,The telegraph is an early communication system that transmitted messages over long distances using electrical signals.,"Great Invention, 19th Century"
Camera,1839,"The camera is a device for capturing still or moving images, influencing photography, art, and visual documentation.","Great Invention, 19th Century"
Solar Cell,1839,"Solar cells, or photovoltaic cells, convert sunlight into electricity, providing a sustainable energy source.","Great Invention, 19th Century"
Telephone,1876,The telephone is a communication device that allows people to talk to each other over long distances using electrical signals.,"Great Invention , 19th Century"
Telephone,1876,The telephone is a communication device that allows people to talk to each other over long distances using electrical signals.,"Great Invention, 19th Century"
Light Bulb,1879,The light bulb is an electric device that produces light from a filament or other source. It revolutionized indoor and outdoor lighting.,"Great Invention , 19th Century"
Automobile,1885,The automobile is a self-propelled vehicle that revolutionized personal transportation and the automotive industry.,"Great Invention, 19th Century"
Radio,1895,"The radio is a communication device that broadcasts audio signals, impacting news, entertainment, and information dissemination.","Great Invention, 19th Century"
X-ray,1895,X-rays are a form of electromagnetic radiation that revolutionized medical imaging and diagnostics.,"Great Invention, 19th Century"
Cinema,1895,"Cinema is the art and technology of motion picture production, revolutionizing entertainment and storytelling.","Great Invention, 19th Century"
Air Conditioning,1902,"Air conditioning systems control indoor temperature and humidity, enhancing comfort and productivity.","Great Invention, 20th Century"
Airplane,1903,The airplane is a powered flying vehicle that allows human flight and transformed transportation and travel.,"Great Invention, 20th Century"
Robot,1920,"A robot is a programmable machine that can perform tasks autonomously or under remote control, revolutionizing industries and automation.","Great Invention, 20th Century"
Television,1927,"Television is a medium for transmitting visual and audio content, changing the way people receive information and entertainment.","Great Invention, 20th Century"
Penicillin,1928,Penicillin is an antibiotic that revolutionized medicine by treating bacterial infections and saving countless lives.,"Great Invention, 20th Century"
Antibiotics,1928,"Antibiotics are drugs that combat bacterial infections, significantly improving healthcare and increasing lifespans.","Great Invention, 20th Century"
Nuclear Reactor,1942,"The nuclear reactor is a device that generates controlled nuclear reactions, used for electricity generation and scientific research.","Great Invention, 20th Century"
Atomic Bomb,1945,"The atomic bomb is a devastating weapon that harnesses nuclear energy, leading to the end of World War II and global geopolitical tensions.","Great Invention, 20th Century"
Microwave Oven,1945,The microwave oven is a kitchen appliance that quickly heats and cooks food using microwave radiation.,"Great Invention, 20th Century"
Transistor,1947,The transistor is a semiconductor device that revolutionized electronics and led to the development of computers and modern technology.,"Great Invention, 20th Century"
Velcro,1948,"Velcro is a fastening system with hook-and-loop technology, used in clothing, shoes, and various products for easy closure.","Great Invention, 20th Century"
Barcode,1952,Barcodes are optical codes used for product identification and inventory management in retail and logistics.,"Great Invention, 20th Century"
DNA Double Helix,1953,The discovery of the DNA double helix structure revealed the genetic code and laid the foundation for modern genetics and biotechnology.,"Great Invention, 20th Century"
Laser,1960,"The laser is a device that emits focused light, with applications in medicine, communication, and numerous technologies.","Great Invention, 20th Century"
Computer Mouse,1963,The computer mouse is an input device that revolutionized computer interaction and navigation.,"Great Invention, 20th Century"
ATM (Automated Teller Machine),1967,"ATMs are self-service machines that allow people to withdraw and deposit money from their bank accounts, transforming banking services.","Great Invention, 20th Century"
Internet,1969,The Internet is a global network of interconnected computers that enables the sharing of information and communication worldwide.,"Great Invention , 20th Century"
The Internet,1969,The Internet is a global network of interconnected computers that enables the sharing of information and communication worldwide.,"Great Invention, 20th Century"
Cell Phone,1973,"The cell phone, or mobile phone, is a portable communication device that revolutionized personal and business communication.","Great Invention, 20th Century"
Digital Camera,1975,"The digital camera captures and stores images in digital format, making photography more accessible and convenient.","Great Invention, 20th Century"
MRI Scanner,1977,The MRI scanner is a medical imaging device that provides detailed images of the body's internal structures.,"Great Invention, 20th Century"
GPS,1978,Global Positioning System (GPS) is a satellite-based navigation system that revolutionized location tracking and mapping.,"Great Invention, 20th Century"
Space Shuttle,1981,The space shuttle is a reusable spacecraft that enabled human spaceflight and scientific research in space.,"Great Invention, 20th Century"
